size_bytes,size_human,gvisor_busbw_gbps,gvisor_time_us
8,8B,0.00,105.5
16,16B,0.00,103.5
32,32B,0.00,103.2
64,64B,0.00,110.5
128,128B,0.00,102.1
256,256B,0.00,100.5
512,512B,0.01,100.1
1024,1KB,0.02,100.5
2048,2KB,0.03,110.1
4096,4KB,0.07,103.9
8192,8KB,0.14,112.2
16384,16KB,0.22,140.6
32768,32KB,0.31,197.9
65536,64KB,0.59,207.0
131072,128KB,1.14,215.6
262144,256KB,1.45,338.0
524288,512KB,2.39,411.3
